"%s already exist","%s уже существуют"
"%s already exists","%s уже существует"
"-- Please Select --","-- Выберите --"
"Add Block Names to Hints","Добавлять названия блоков к подсказкам"
"Add Secret Key to URLs","Добавлять секретный ключ к ссылкам (URLs)"
"Add Store Code to Urls","Добавлять код магазина к ссылкам (URLs)"
"Admin","Панель администрирования"
"Admin Base URL","Базовый URL панели администрирования"
"Admin User Emails","Почтовые адреса пользователей панели администрирования"
"Advanced","Расширенные"
"Allow countries","Разрешить страны"
"Allowed IPs (comma separated)","Разрешённые IP-адреса (через запятую)"
"Are you sure?","Вы уверены?"
"Back","Вернуться"
"Backup options","Параметры архивной копии"
"Base JavaScript URL","Базовый путь к JavaScript"
"Base Link URL","Базовый URL для ссылок"
"Base Media URL","Базовый путь к Media"
"Base Skin URL","Базовый путь к оболочке (Skin)"
"Base URL","Базовый URL"
"Before modifying the store view code please make sure that it is not used in index.php","Перед изменением кода представления магазина убедитесь, что он не используется в фале index.php"
"Before modifying the website code please make sure that it is not used in index.php","Перед изменением кода сайта убедитесь, что он не используется на в файле index.php"
"Block with name ""%s"" already exists","Блок с названием ""%s"" уже существует"
"Blocks HTML output","Вывод блоков HTML"
"Can't retrieve request object","Невозможно получить объект запроса"
"Can't retrieve entity config: %s","Невозможно получить конфигурацию: %s"
"Cancel","Отменить"
"Cannot Delete Email Template","Невозможно удалить шаблон письма (email)"
"Cannot complete this operation from non-admin area.","Невозможно завершить данную операцию не из панели администрирования."
"Category object is required for determining product request path","Для определения адреса товара требуется объект категории"
"Code","Код"
"Collections Data","Данные коллекций"
"Configuration","Конфигурация"
"Controller file was loaded but class does not exist","Файл контроллера был загружен, но класс не существует"
"Cookie Domain","Домен для cookie"
"Cookie Lifetime","Время жизни cookie"
"Cookie Path","Путь к cookie"
"Copyright","Авторские права"
"Countries options","Параметры для стран"
"Create Store","Создать магазин"
"Create Store View","Создать представление магазина"
"Create Website","Создать сайт"
"Current package name","Название текущего пакета"
"Custom Design","Другой дизайн"
"Custom admin URL","Другой адрес (URL) для панели администрирования"
"Custom email 1","Другой email 1"
"Custom email 2","Другой email 2"
"Customer support","Служба поддержки"
"Date From","Дата с"
"Date To","Дата по"
"Date/time format ""%s"" is not supported.","Не поддерживается формат Date/time ""%s""."
"Debug","Устранение неполадок (debug)"
"Default","По умолчанию"
"Default Description","Описание по умолчанию"
"Default Keywords","Ключевые слова по умолчанию"
"Default Pages","Страницы по умолчанию"
"Default Robots","Роботы по умолчанию"
"Default Store","Магазин по умолчанию"
"Default Store View","Представление магазина по умолчанию"
"Default Title","Заголовок по умолчанию"
"Default country","Страна по умолчанию"
"Default no-route url","URL по умолчанию в случае отсутствия страницы"
"Default web url","Web URL по умолчанию"
"Delete","Удалить"
"Delete Store","Удалить магазин"
"Delete Store View","Удалить представление магазина"
"Delete Website","Удалить сайт"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Удаление %1$s не удалит информацию, связанную с %1$s (категории товары и т.д.), но в дальнейшем %1$s восстановить будет невозможно. Предполагается, что вы создали резервную копию БД перед удалением %1$s."
"Design","Дизайн"
"Design Change","Изменение дизайна"
"Developer","Для разработчика"
"Developer Client Restrictions","Ограничения доступа разработчика (считать пользователя разработчиком, только если...)"
"Disable email communications","Отключение сообщений электронной почты"
"Disable modules output","Отключение вывода модулей"
"Duplicate Of Template Code","Копия кода шаблона"
"Edit Design Change","Редактировать изменение дизайна"
"Edit Store","Редактировать магазин"
"Edit Store View","Редактировать представление магазина"
"Edit Website","Редактировать сайт"
"Empty identifier field name","Пустое название поля идентификатора"
"Empty main table name","Пустое название основной таблицы"
"Enabled","Включено"
"Enabled for Admin","Включено для панели администрирования"
"Enabled for Frontend","Включено для пользовательской части"
"Error in file: ""%s"" - %s","Ошибка в файле: ""%s"" - %s"
"Error while saving. Please try again later.","Ошибка при сохранении. Пожалуйста, повторите попытку позже."
"Error: Passwords do not match","Ошибка: Пароли не совпадают"
"Exceptions Log File Name","Названия лог файла исключений"
"First Day of Week","Первый день недели"
"Footer","Футер"
"Forgot Password Email Sender","Письмо о забытом пароле. Отправитель"
"Forgot Password Email Template","Письмо о забытом пароле. Шаблон"
"General","Общие"
"General Settings","Общие настройки"
"General contact","Общий контакт"
"Global","Глобально"
"HTML Head","HTML заголовок"
"Header","Хэдер"
"Host","Хост"
"Id path for specified store","ИД путь для указанного магазина"
"Incorrect credit card expiration date","Неверная дата истечения срока действия расчётной карты"
"Invalid base url type","Недействительный тип базового URL"
"Invalid block name to set child %s: %s","Недействительное название блока для установки под-блока %s: %s"
"Invalid block type: %s","Недействительный тип блока: %s"
